gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,costat,ggroup,gsector,naics,sic
001004,20200531,2019,INDL,C,D,STD,AIR,USD,A,2010,20,423860,5080
001045,20201231,2020,INDL,C,D,STD,AAL,USD,A,2030,20,481111,4512
001050,20201231,2020,INDL,C,D,STD,CECE,USD,A,2020,20,333413,3564
001075,20201231,2020,INDL,C,D,STD,PNW,USD,A,5510,55,2211,4911
001076,20201231,2020,INDL,C,D,STD,PRG,USD,A,4020,40,522220,6141
001078,20201231,2020,INDL,C,D,STD,ABT,USD,A,3510,35,334510,3845
001161,20201231,2020,INDL,C,D,STD,AMD,USD,A,4530,45,334413,3674
001209,20200930,2020,INDL,C,D,STD,APD,USD,A,1510,15,325120,2810
001230,20201231,2020,INDL,C,D,STD,ALK,USD,A,2030,20,481111,4512
001234,20201231,2020,INDL,C,D,STD,ATRI,USD,A,3510,35,339112,3841
001254,20201231,2020,INDL,C,D,STD,MATX,USD,A,2030,20,483113,4400
001257,20201231,2020,INDL,C,D,STD,ALX,USD,A,6010,60,531120,6798
001266,20200930,2020,INDL,C,D,STD,ALCO,USD,A,3020,30,111310,0100
001274,20201231,2020,INDL,C,D,STD,Y,USD,A,4030,40,524126,6331
001300,20201231,2020,INDL,C,D,STD,HON,USD,A,2010,20,336413,9997
001327,20200930,2020,INDL,C,D,STD,SWKS,USD,A,4530,45,334413,3674
001380,20201231,2020,INDL,C,D,STD,HES,USD,A,1010,10,2111,1311
001393,20200331,2019,INDL,C,D,STD,UHAL,USD,A,2030,20,532120,7510
001410,20201031,2020,INDL,C,D,STD,ABM,USD,A,2020,20,561720,7340
001414,20201231,2020,INDL,C,D,STD,PRI,USD,A,4030,40,524113,6311
001439,20201231,2020,INDL,C,D,STD,ECOL,USD,A,2020,20,562211,4955
001440,20201231,2020,INDL,C,D,STD,AEP,USD,A,5510,55,2211,4911
001447,20201231,2020,INDL,C,D,STD,AXP,USD,A,4020,40,522210,6141
001449,20201231,2020,INDL,C,D,STD,AFL,USD,A,4030,40,524114,6321
001487,20201231,2020,INDL,C,D,STD,AIG,USD,A,4030,40,524126,6331
001526,20201231,2020,INDL,C,D,STD,ANAT,USD,A,4030,40,524113,6311
001562,20200430,2019,INDL,C,D,STD,AMSWA,USD,A,4510,45,511210,7372
001585,20201231,2020,INDL,C,D,STD,AVD,USD,A,1510,15,325320,2870
001598,20201231,2020,INDL,C,D,STD,AME,USD,A,2010,20,334513,3823
001602,20201231,2020,INDL,C,D,STD,AMGN,USD,A,3520,35,325414,2836
001632,20201031,2020,INDL,C,D,STD,ADI,USD,A,4530,45,334413,3674
001659,20201231,2020,INDL,C,D,STD,ANDE,USD,A,3010,30,424510,5150
001661,20201231,2020,INDL,C,D,STD,NBR,USD,A,1010,10,213111,1381
001678,20201231,2020,INDL,C,D,STD,APA,USD,A,1010,10,2111,1311
001686,20200229,2019,INDL,C,D,STD,APOG,USD,A,2010,20,332321,3442
001690,20200930,2020,INDL,C,D,STD,AAPL,USD,A,4520,45,334220,3663
001704,20201031,2020,INDL,C,D,STD,AMAT,USD,A,4530,45,333242,3559
001706,20200831,2020,INDL,C,D,STD,EPAC,USD,A,2010,20,333132,3533
001712,20201231,2020,INDL,C,D,STD,TREC,USD,A,1510,15,324110,2911
001722,20201231,2020,INDL,C,D,STD,ADM,USD,A,3020,30,31122,2070
001743,20201231,2020,INDL,C,D,STD,ARCB,USD,A,2030,20,484122,4213
001773,20201231,2020,INDL,C,D,STD,ARW,USD,A,4520,45,423690,5065
001794,20200930,2020,INDL,C,D,STD,ASH,USD,A,1510,15,3252,2820
001823,20201231,2020,INDL,C,D,STD,ATRO,USD,A,2010,20,336320,3640
001864,20200131,2019,INDL,C,D,STD,REX,USD,A,1010,10,325193,2860
001878,20200131,2019,INDL,C,D,STD,ADSK,USD,A,4510,45,519130,7370
001891,20200630,2020,INDL,C,D,STD,ADP,USD,A,4510,45,518210,7374
001913,20201231,2020,INDL,C,D,STD,AVY,USD,A,1510,15,322220,2670
001919,20200630,2020,INDL,C,D,STD,AVT,USD,A,4520,45,423690,5065
001926,20200229,2019,INDL,C,D,STD,AZZ,USD,A,2010,20,335122,3640
001949,20201231,2020,INDL,C,D,STD,BRT,USD,A,6010,60,531110,6798
001968,20201231,2020,INDL,C,D,STD,BMI,USD,A,4520,45,334514,3824
001979,20201231,2020,INDL,C,D,STD,BCPC,USD,A,1510,15,325412,2834
001982,20201231,2020,INDL,C,D,STD,PTVCB,USD,A,4030,40,524126,6331
001988,20201231,2020,INDL,C,D,STD,BLL,USD,A,1510,15,332431,3411
002002,20201231,2020,INDL,C,D,STD,BPOP,USD,A,4010,40,522110,6020
002005,20201231,2020,INDL,C,D,STD,BOH,USD,A,4010,40,522110,6020
002019,20201231,2020,INDL,C,D,STD,BK,USD,A,4020,40,522110,6020
002049,20201231,2020,INDL,C,D,STD,B,USD,A,2010,20,332613,3490
002086,20201231,2020,INDL,C,D,STD,BAX,USD,A,3510,35,325412,2834
002101,20200630,2020,INDL,C,D,STD,AIT,USD,A,2010,20,423830,5080
002111,20200930,2020,INDL,C,D,STD,BDX,USD,A,3510,35,339112,3841
002124,20201231,2020,INDL,C,D,STD,BELFB,USD,A,4520,45,334416,3677
002136,20201231,2020,INDL,C,D,STD,VZ,USD,A,5010,50,517312,4812
002184,20200131,2019,INDL,C,D,STD,BBY,USD,A,2550,25,443142,5731
002220,20201231,2020,INDL,C,D,STD,BIO,USD,A,3520,35,334516,3826
002259,20201231,2020,INDL,C,D,STD,BKH,USD,A,5510,55,2211,4911
002269,20200430,2019,INDL,C,D,STD,HRB,USD,A,2530,25,541213,7200
002285,20201231,2020,INDL,C,D,STD,BA,USD,A,2010,20,336411,3721
002312,20201231,2020,INDL,C,D,STD,RHI,USD,A,2020,20,561320,7363
002352,20200731,2020,INDL,C,D,STD,BRC,USD,A,2020,20,339950,3990
002403,20201231,2020,INDL,C,D,STD,BMY,USD,A,3520,35,325412,2834
002436,20200131,2019,INDL,C,D,STD,CAL,USD,A,2550,25,316210,3140
002444,20201231,2020,INDL,C,D,STD,BC,USD,A,2520,25,333618,3510
002448,20201231,2020,INDL,C,D,STD,MTRN,USD,A,1510,15,331410,3330
002497,20201231,2020,INDL,C,D,STD,MTZ,USD,A,2010,20,237130,1623
002504,20201231,2020,INDL,C,D,STD,UIS,USD,A,4510,45,541512,7373
002536,20200331,2019,INDL,C,D,STD,RAMP,USD,A,4510,45,519130,7370
002547,20201231,2020,INDL,C,D,STD,CI,USD,A,3510,35,524114,6324
002558,20201231,2020,INDL,C,D,STD,CNA,USD,A,4030,40,524126,6331
002574,20201231,2020,INDL,C,D,STD,CSX,USD,A,2030,20,482111,4011
002577,20201231,2020,INDL,C,D,STD,CTS,USD,A,4520,45,33441,3670
002578,20201231,2020,INDL,C,D,STD,TLS,USD,A,4510,45,541512,7373
002593,20200930,2020,INDL,C,D,STD,CBT,USD,A,1510,15,325180,2890
002596,20200630,2020,INDL,C,D,STD,CACI,USD,A,2020,20,541512,7373
002615,20200229,2019,INDL,C,D,STD,CAMP,USD,A,4520,45,334220,3663
002628,20201231,2020,INDL,C,D,STD,CWT,USD,A,5510,55,221310,4941
002663,20200731,2020,INDL,C,D,STD,CPB,USD,A,3020,30,311422,2030
002710,20200229,2019,INDL,C,D,STD,STZ,USD,A,3020,30,312120,2082
002751,20200630,2020,INDL,C,D,STD,CAH,USD,A,3510,35,424210,5122
002771,20201231,2020,INDL,C,D,STD,CSL,USD,A,2010,20,324122,2950
002787,20200630,2020,INDL,C,D,STD,CRS,USD,A,1510,15,331110,3312
002807,20200430,2019,INDL,C,D,STD,CASY,USD,A,3010,30,447110,5412
002817,20201231,2020,INDL,C,D,STD,CAT,USD,A,2010,20,333120,3531
