TICKER,ReturnEarly2020,ReturnLate2020
JJSF,-0.340234493,0.300340414
PLXS,-0.290875889,0.433469101
HNGR,-0.435711705,0.411424534
ORCL,-0.08359557,0.356166065
MSFT,0.003212116,0.421139375
TROW,-0.191152093,0.581942064
HON,-0.239929857,0.615644289
AMRC,-0.026857206,2.067522046
RGEN,0.043676159,0.984980969
BWXT,-0.212306733,0.249688571
PTVCB,-0.139438921,0.018376189
INDB,-0.221260948,0.159761933
HVT,-0.407920433,1.646724844
TMP,-0.210166889,0.007703186
BCPC,-0.02863348,0.173015229
DJCO,-0.213897437,0.769598223
ASTE,-0.16476152,0.666036469
WERN,-0.001139266,0.09134702
SKYW,-0.592604183,0.539135548
FRPH,-0.136719369,0.059301248
AMWD,-0.563964888,1.059469696
ADM,-0.233734376,0.468212629
VIVO,-0.140224979,1.225001345
CLFD,-0.149928968,1.086076385
WTS,-0.149385099,0.447961065
FNB,-0.410236166,0.349906864
EHC,-0.071604531,0.307265173
FISV,-0.178500677,0.198651453
FCNCA,-0.373800059,0.730492787
HTLD,-0.116864684,-0.022244226
OSUR,0.339975173,-0.01626396
CAL,-0.778105159,2.070773706
BC,-0.407643281,1.181158729
UIS,0.041314771,0.593519748
WSFS,-0.431535097,0.82189682
ITIC,-0.193215704,0.312837179
CERN,-0.141708926,0.25906233
WBS,-0.566317988,0.913796335
MKL,-0.188318312,0.113601055
AXGN,-0.418669258,0.721154389
FLIC,-0.295333922,0.054060147
FBP,-0.494476108,0.775296223
AVD,-0.256291838,0.074689626
PLAB,-0.34898511,0.087719041
CRMT,-0.486138913,0.949243421
ARGO,-0.433243815,0.21052218
OFG,-0.523506895,0.68269808
CATO,-0.367816084,-0.101219026
FBNC,-0.41718855,0.496908195
WSBC,-0.364382239,0.317208525
KO,-0.193134609,0.271100688
SAFM,-0.298566204,0.081316042
CNBKA,-0.307171181,0.250218717
UBSI,-0.393947619,0.460359393
ENV,-0.227630868,0.53012271
WASH,-0.310838951,0.27985095
CDNS,-0.047866264,1.065869945
ED,-0.129467797,-0.044490616
CHCO,-0.182049413,0.073865206
EBIX,-0.544356337,1.524401697
CECE,-0.390339285,0.490365447
FICO,-0.178792245,0.660893346
CNMD,-0.486094791,0.969579962
HBNC,-0.477372175,0.660691005
EPAC,-0.364195055,0.369229696
ATRI,-0.133000851,-0.0038683
XRAY,-0.312069471,0.357179861
FAST,-0.148200632,0.603887613
CPF,-0.457305719,0.247943006
HRTX,-0.50042477,0.802813277
CRK,-0.345078759,-0.189239193
GDOT,0.089699211,1.197716548
DTE,-0.260934441,0.313436685
MATX,-0.244538761,0.893097665
IMKTA,-0.23588473,0.194851238
AIN,-0.374077567,0.566485752
IIVI,-0.153549278,1.665262321
ETN,-0.172085719,0.580318088
JOUT,-0.180761597,0.808632834
SIVB,-0.398183377,1.56705011
ALCO,-0.131173784,0.011225839
MITK,0.030065062,1.256346043
CLH,-0.401282556,0.482275067
CYBE,-0.069096279,0.326123108
CTBI,-0.310248924,0.207459556
XOM,-0.446658116,0.1562577
IPAR,-0.357997756,0.305070203
MGM,-0.640816946,1.671254974
MXIM,-0.202901899,0.851774186
WM,-0.18300218,0.292763123
KKR,-0.191890445,0.746300463
TCF,-0.511161625,0.69246621
COKE,-0.26519042,0.281036961
DY,-0.455991429,1.944247911
QUAD,-0.443522574,0.515874835
GATX,-0.239833081,0.357950405
GORO,-0.502295052,0.067239595
GD,-0.245368023,0.152329735
GE,-0.287633863,0.36564148
LH,-0.252882003,0.610488557
ONB,-0.27243448,0.292460883
WSR,-0.53086165,0.346838305
PBCT,-0.338627528,0.226884407
SIG,-0.698795736,3.227910288
COR,0.044594216,0.11385884
FRBK,-0.476076827,0.301371021
HIFS,-0.306901971,0.508964553
LNN,-0.042955826,0.415894404
MGPI,-0.442517809,0.766465625
CDMO,-0.333768439,1.258318939
AMRS,-0.171520401,1.412108332
CHTR,-0.100540249,0.516239243
EFC,-0.674755889,1.776799702
LYB,-0.466985296,0.929988732
PACB,-0.404669785,7.477125049
VRA,-0.650847852,0.932037512
BAH,-0.030810986,0.284226902
GM,-0.42185764,1.00385072
HHC,-0.601577464,0.562352
CMRE,-0.519727547,0.942968398
LPLA,-0.407262839,0.932612966
ZGNX,-0.525609418,-0.191668945
FRC,-0.2982455,0.795180528
FLT,-0.351661571,0.462581003
INFU,-0.004689682,1.212013059
KNX,-0.082589423,0.282405971
TRGP,-0.826542064,2.892262468
WD,-0.373939558,1.330979172
ACNB,-0.20026322,-0.139721916
IBM,-0.162110586,0.180144466
QADA,-0.215982872,0.592247915
